Time (UTC),Spot Price 2025,Spot Price 2035,Spot Price 2045,DA forecast,Realised production
02/01/2012 00.00,20.469,13.761,12.71,0.316,0.2745
02/01/2012 01.00,20.469,13.761,12.71,0.3395,0.264
02/01/2012 02.00,20.469,13.761,12.71,0.3547,0.2824
02/01/2012 03.00,20.469,13.761,12.71,0.2963,0.2498
02/01/2012 04.00,20.469,13.761,12.71,0.3581,0.2959
02/01/2012 05.00,20.469,13.761,12.71,0.4305,0.3151
02/01/2012 06.00,22.977,13.983,12.635,0.4692,0.3019
02/01/2012 07.00,27.091,14.298,12.729,0.4245,0.2966
02/01/2012 08.00,29.188,14.869,12.71,0.4164,0.3344
02/01/2012 09.00,28.669,14.055,12.467,0.4618,0.3368
02/01/2012 10.00,29.013,14.059,12.411,0.5025,0.3332
02/01/2012 11.00,28.248,13.24,12.173,0.604,0.3554
02/01/2012 12.00,24.077,13.034,12.173,0.5122,0.279
02/01/2012 13.00,23.905,13.034,12.173,0.5893,0.2911
02/01/2012 14.00,25.383,13.042,12.467,0.5118,0.3123
02/01/2012 15.00,26.25,13.761,12.71,0.5018,0.3374
02/01/2012 16.00,26.25,13.865,12.71,0.5977,0.4343
02/01/2012 17.00,24.766,13.761,12.71,0.5416,0.459
02/01/2012 18.00,24.271,13.761,12.71,0.5201,0.4327
02/01/2012 19.00,24.271,13.761,12.71,0.4221,0.4029
02/01/2012 20.00,24.271,13.761,12.71,0.3917,0.4068
02/01/2012 21.00,23.62,13.761,12.71,0.4251,0.3985
02/01/2012 22.00,22.997,13.761,12.71,0.4718,0.3544
02/01/2012 23.00,21.135,13.761,12.71,0.5341,0.4113
03/01/2012 00.00,22.574,7.839,3.793,0.764,0.4494
03/01/2012 01.00,22.574,7.839,3.793,0.6763,0.4268
03/01/2012 02.00,22.574,7.839,3.793,0.7896,0.4185
03/01/2012 03.00,22.574,7.839,3.793,0.8645,0.4289
03/01/2012 04.00,22.574,7.839,3.793,0.867,0.4716
03/01/2012 05.00,22.778,7.839,3.793,0.8843,0.485
03/01/2012 06.00,23.468,8.084,3.67,0.9463,0.5759
03/01/2012 07.00,25.54,8.873,3.688,0.9233,0.5359
03/01/2012 08.00,23.74,7.554,3.696,0.8866,0.5263
03/01/2012 09.00,23.442,4.254,3.544,0.9933,0.708
03/01/2012 10.00,23.442,3.85,3.434,1,0.8293
03/01/2012 11.00,23.445,3.85,3.434,1,0.8612
03/01/2012 12.00,22.797,3.85,3.451,1,0.9708
03/01/2012 13.00,22.778,3.85,3.458,1,0.999
03/01/2012 14.00,22.798,3.85,3.51,1,1
03/01/2012 15.00,22.921,6.738,3.793,1,1
03/01/2012 16.00,23.716,7.839,3.793,1,0.9638
03/01/2012 17.00,24.316,7.839,3.793,1,0.9682
03/01/2012 18.00,23.74,7.839,3.793,1,0.9948
03/01/2012 19.00,23.445,7.839,3.793,1,1
03/01/2012 20.00,22.921,7.839,3.793,1,1
03/01/2012 21.00,22.798,7.839,3.793,1,1
03/01/2012 22.00,22.778,7.839,3.793,1,1
03/01/2012 23.00,22.801,7.839,3.793,1,1
04/01/2012 00.00,18.256,17.014,3.923,1,1
04/01/2012 01.00,18.268,17.014,3.923,1,1
04/01/2012 02.00,18.268,17.014,3.923,1,1
04/01/2012 03.00,18.268,17.014,3.923,1,1
04/01/2012 04.00,18.256,17.014,3.923,1,1
04/01/2012 05.00,18.132,17.203,3.923,1,1
04/01/2012 06.00,22.543,17.01,3.696,1,1
04/01/2012 07.00,27.193,17.139,3.793,1,1
04/01/2012 08.00,29.065,16.176,3.793,1,1
04/01/2012 09.00,19.949,8,3.67,1,1
04/01/2012 10.00,17.733,7.09,3.304,0.9953,1
04/01/2012 11.00,13.238,5.749,3.304,0.8563,0.9987
04/01/2012 12.00,13.238,5.749,3.304,0.5451,0.9527
04/01/2012 13.00,13.238,5.749,3.327,0.4806,0.9598
04/01/2012 14.00,17.994,5.763,3.583,0.3625,0.9069
