time,2012 Denmark_HH80_SP400
01/01/2012 00.00,0.3951
01/01/2012 01.00,0.4848
01/01/2012 02.00,0.5057
01/01/2012 03.00,0.4964
01/01/2012 04.00,0.5174
01/01/2012 05.00,0.6182
01/01/2012 06.00,0.7983
01/01/2012 07.00,0.8224
01/01/2012 08.00,0.7372
01/01/2012 09.00,0.708
01/01/2012 10.00,0.6348
01/01/2012 11.00,0.6524
01/01/2012 12.00,0.68
01/01/2012 13.00,0.7061
01/01/2012 14.00,0.5982
01/01/2012 15.00,0.5813
01/01/2012 16.00,0.5818
01/01/2012 17.00,0.3593
01/01/2012 18.00,0.3931
01/01/2012 19.00,0.4257
01/01/2012 20.00,0.3101
01/01/2012 21.00,0.3894
01/01/2012 22.00,0.4118
01/01/2012 23.00,0.3866
02/01/2012 00.00,0.3217
02/01/2012 01.00,0.1284
02/01/2012 02.00,0.2673
02/01/2012 03.00,0.5902
02/01/2012 04.00,0.6697
02/01/2012 05.00,0.8231
02/01/2012 06.00,0.7955
02/01/2012 07.00,0.7308
02/01/2012 08.00,0.7124
02/01/2012 09.00,0.718
02/01/2012 10.00,0.7878
02/01/2012 11.00,0.7795
02/01/2012 12.00,0.7078
02/01/2012 13.00,0.6272
02/01/2012 14.00,0.5131
02/01/2012 15.00,0.5528
02/01/2012 16.00,0.6159
02/01/2012 17.00,0.6291
02/01/2012 18.00,0.6723
02/01/2012 19.00,0.7659
02/01/2012 20.00,0.8508
02/01/2012 21.00,0.8317
02/01/2012 22.00,0.732
02/01/2012 23.00,0.772
03/01/2012 00.00,0.4851
03/01/2012 01.00,0.5115
03/01/2012 02.00,0.4627
03/01/2012 03.00,0.4643
03/01/2012 04.00,0.5327
03/01/2012 05.00,0.6522
03/01/2012 06.00,0.6859
03/01/2012 07.00,0.662
03/01/2012 08.00,0.7201
03/01/2012 09.00,0.714
03/01/2012 10.00,0.6945
03/01/2012 11.00,0.6795
03/01/2012 12.00,0.8126
03/01/2012 13.00,0.8389
03/01/2012 14.00,0.8737
03/01/2012 15.00,0.8863
03/01/2012 16.00,0.9021
03/01/2012 17.00,0.9217
03/01/2012 18.00,0.8692
03/01/2012 19.00,0.8141
03/01/2012 20.00,0.9188
03/01/2012 21.00,0.9384
03/01/2012 22.00,0.9343
03/01/2012 23.00,0.9438
04/01/2012 00.00,0.9498
04/01/2012 01.00,0.9498
04/01/2012 02.00,0.9498
04/01/2012 03.00,0.9498
04/01/2012 04.00,0.9497
04/01/2012 05.00,0.9497
04/01/2012 06.00,0.9496
04/01/2012 07.00,0.9495
04/01/2012 08.00,0.9492
04/01/2012 09.00,0.9488
04/01/2012 10.00,0.9484
04/01/2012 11.00,0.9461
04/01/2012 12.00,0.9474
04/01/2012 13.00,0.9424
04/01/2012 14.00,0.9421
04/01/2012 15.00,0.9419
04/01/2012 16.00,0.9258
04/01/2012 17.00,0.9291
04/01/2012 18.00,0.9307
04/01/2012 19.00,0.9304
04/01/2012 20.00,0.9354
04/01/2012 21.00,0.9381
04/01/2012 22.00,0.941
04/01/2012 23.00,0.9459
05/01/2012 00.00,0.9355
05/01/2012 01.00,0.9055
05/01/2012 02.00,0.8821
05/01/2012 03.00,0.9238
05/01/2012 04.00,0.941
05/01/2012 05.00,0.9483
05/01/2012 06.00,0.9493
05/01/2012 07.00,0.9499
05/01/2012 08.00,0.9498
05/01/2012 09.00,0.9498
05/01/2012 10.00,0.9495
05/01/2012 11.00,0.9466
05/01/2012 12.00,0.9388
05/01/2012 13.00,0.8746
05/01/2012 14.00,0.8112
05/01/2012 15.00,0.779
05/01/2012 16.00,0.7613
05/01/2012 17.00,0.8354
05/01/2012 18.00,0.8817
05/01/2012 19.00,0.9236
05/01/2012 20.00,0.9283
05/01/2012 21.00,0.9285
05/01/2012 22.00,0.934
05/01/2012 23.00,0.9358
06/01/2012 00.00,0.8099
06/01/2012 01.00,0.805
06/01/2012 02.00,0.8423
06/01/2012 03.00,0.8886
06/01/2012 04.00,0.8939
06/01/2012 05.00,0.8476
