Timestep,2025 - base case,2030 - base case,2035 - base case,2040 - base case,2050 - base case,2025 - re delay,2030 - re delay,2035 - re delay,2040 - re delay,2050 -re delay,2025 - ptx delay,2030 - ptx delays,2035 - ptx delay,2040 - ptx delay,2050 - ptx delay
S01-T001,84.23275697,57.86520774,63.01956928,66.0648543,50.9780004,112.7703663,107.0004943,111.2333933,107.3864772,113.0070279,80.50382794,8.976246083,8.823591246,28.838568,11.44964164
S01-T002,79.78370066,57.80571161,59.18702472,65.86629674,50.9780004,108.5962344,106.6792526,109.2263725,105.5240498,112.7807526,67.16136814,8.211233823,5.805102322,28.78054543,11.44964164
S01-T003,66.19059565,57.57408758,48.94725432,63.05040991,50.74357057,105.9407953,106.4656265,108.9711078,105.207233,112.4748411,65.40612014,5.805102322,3.249326454,27.42502608,11.38317735
S01-T004,54.7182792,55.63906946,5.847612725,58.86771876,49.84494036,105.7286454,106.4656265,108.6789553,105.1018386,111.4809008,52.96746928,3.487681048,3.245889901,25.13840064,11.23654064
S01-T005,50.11776228,55.58324316,5.847612725,58.80866382,49.05494654,101.0190907,106.4656265,108.5036743,105.055003,111.3692327,40.78710695,3.245889901,3.245889901,3.48400614,9.806317348
S01-T006,5.847612725,55.52747269,5.847612725,58.69135278,48.11446125,97.12973956,106.4656265,108.6797311,105.0542309,109.5790777,5.847612725,3.48400614,3.245889901,3.480334907,9.796323804
S01-T007,5.847612725,57.63190671,19.18190773,58.86844169,48.17469315,97.12973956,106.4656265,108.8984598,105.0571194,110.6643182,5.847612725,4.18849079,3.245889901,20.76721472,9.806317348
S01-T008,35.45744884,57.86520774,59.30595158,64.2119735,49.10578716,99.34570691,106.7856509,111.2333933,107.4941586,111.7034207,13.06687625,4.192870888,5.847612725,26.41296625,9.837027832
S01-T009,37.60744717,57.86520774,62.3593656,66.0648543,49.25396245,97.32466583,106.786226,111.3449202,107.5977043,112.8938336,32.11430634,4.192870888,7.972206575,28.52940067,10.48007063
S01-T010,17.5302252,57.8071553,60.63657283,65.93241639,49.10578716,96.59712334,106.4656265,110.5194046,105.7357899,112.7807526,13.06687625,4.192870888,8.80557862,28.50068404,10.46897255
S01-T011,17.5302252,54.94508449,57.66434336,59.11410332,47.44060238,96.0699507,105.8689271,108.788707,105.055003,109.5607508,15.19657803,3.245889901,5.628435509,26.33655875,9.785764617
S01-T012,17.5302252,51.00081524,52.44542272,58.80866382,46.35470352,96.0699507,104.7780875,104.6289345,104.9965495,109.3596549,15.19657803,3.245889901,3.245889901,24.7508103,9.737235174
S01-T013,17.5302252,51.00009231,51.39678122,58.80866382,46.35470352,96.0699507,104.5682618,104.0368098,104.9497608,109.3596549,15.19657803,3.245889901,3.245889901,24.7508103,9.73530721
S01-T014,17.5302252,51.00009231,51.36067513,58.74966793,46.28676118,96.0699507,101.5082069,104.6289345,104.9965495,109.3596549,15.19657803,3.245889901,3.245889901,24.7508103,9.745239676
S01-T015,17.5302252,51.00009231,51.39678122,58.80866382,46.35470352,96.0699507,106.4656265,104.9440129,105.055003,109.3596549,15.19657803,3.245889901,3.245889901,24.7508103,9.745239676
S01-T016,17.5302252,54.94511948,51.98057776,58.86844169,46.51474925,96.6315214,106.5723861,108.8619495,106.8119772,109.3596549,15.19657803,3.245889901,5.622619847,25.08705394,9.765253546
S01-T017,19.66016405,56.98190873,60.48525733,61.17461798,48.44971611,112.0474881,106.5723861,112.385647,107.2789035,111.8138753,15.19657803,3.48400614,9.765134447,26.91719571,9.816989346
S01-T018,19.66227837,56.98190873,61.66276032,61.17461798,48.44971611,112.4739367,106.5723861,112.385647,107.325786,111.8138753,15.19657803,4.057502937,9.900724321,26.94432726,9.816989346
S01-T019,17.5302252,56.98190873,60.54599054,61.17461798,47.10894153,112.9071529,106.5723861,112.385647,107.2789035,111.8138753,15.19657803,3.48400614,9.89063637,26.89009128,9.816989346
S01-T020,17.52945389,54.94508449,59.75582631,59.04523852,46.51474925,96.26275421,106.4656265,109.444076,105.4183386,111.59153,5.847612725,3.245889901,9.880558507,26.41296625,9.805163193
S01-T021,5.881619646,56.92473959,59.87589249,58.92755648,46.51474925,96.26275421,106.4656265,109.3344447,105.312733,111.7034207,5.847612725,4.057502937,8.832611084,26.41296625,9.80698513
S01-T022,5.847612725,54.94508449,59.18702472,58.86844169,46.44804795,96.26275421,106.4656265,108.9711078,105.2098662,111.59153,5.847612725,3.48400614,8.794325571,26.33324545,9.805163193
S01-T023,5.847612725,54.83348738,57.72317499,58.80938602,46.40129204,96.16553215,106.4656265,108.7893742,105.1595777,109.250108,5.847612725,3.245889901,5.61681,25.16302869,9.786340253
S01-T024,5.847612725,51.10262072,26.86776168,58.69135278,46.35482403,93.52671563,106.4656265,108.7893742,104.8438532,109.1406707,5.847612725,3.245889901,3.245889901,5.841577886,9.535247502
S01-T025,5.847612725,51.10262072,9.745239676,9.765134447,46.26178647,93.52671563,106.4656265,105.2772917,100.7075901,109.1406707,5.847612725,3.245889901,3.245889901,4.184079535,3.245889901
S01-T026,5.847612725,51.10262072,5.847612725,9.535247502,46.26178647,93.52671563,105.1990005,103.7248972,100.6066953,109.0197845,5.847612725,3.245889901,3.245889901,3.252066589,3.245889901
