Forecast,Realised,OnshoreWindLt50kW_MWh,OnshoreWindGe50kW_MWh
556.166687,506.030719,2.216182,503.814537
639.25,769.257311,2.703441,766.55387
734.833313,811.805856,2.882416,808.92344
869.958313,837.444738,3.121314,834.323424
1046.5,874.826068,3.574369,871.251699
1307.666626,832.91267,3.474382,829.438288
1451.958374,829.337952,3.5084,825.829552
1489.458374,1063.385798,4.521628,1058.86417
1841.375,1440.277361,5.785666,1434.491695
2113.625,1634.590851,6.7085,1627.882351
2180,1879.021885,8.04141,1870.980475
2441.583252,1945.389067,6.964584,1938.424483
2430.041748,2063.235514,7.622231,2055.613283
2433.833252,2244.885989,9.821062,2235.064927
2462.875,2526.921867,11.904362,2515.017505
2512.333252,2504.951567,14.160452,2490.791115
2569.25,2502.039397,15.431058,2486.608339
2385.125,2496.785293,18.026309,2478.758984
1740.416626,2396.431664,17.390425,2379.041239
1279.041626,2144.324882,16.417262,2127.90762
1241.375,1859.859969,14.081729,1845.77824
1098.083374,1690.179461,11.591759,1678.587702
987.375,1522.237164,8.233326,1514.003838
960.75,1284.899366,6.017725,1278.881641
1317.458374,986.861879,4.578415,982.283464
1142.5,810.551796,3.059797,807.491999
942.666687,709.042842,2.438642,706.6042
810.583313,632.432719,1.981505,630.451214
672.375,502.712946,2.145859,500.567087
507.416656,412.841616,2.80197,410.039646
370.25,227.279052,1.0438,226.235252
276.375,144.30931,0.399119,143.910191
248,114.360315,0.250653,114.109662
226.625,117.132277,0.236476,116.895801
186.583328,116.990289,0.330531,116.659758
194.708328,134.414892,0.545621,133.869271
178.083328,189.034625,0.798598,188.236027
186.625,320.194127,1.514694,318.679433
235.583328,475.237187,2.363653,472.873534
298.958344,669.679969,2.108359,667.57161
402.833344,1077.363622,3.794914,1073.568708
548.541687,1260.111736,5.602556,1254.50918
685.333313,1590.266328,6.342223,1583.924105
869.708313,1724.219987,10.828868,1713.391119
957.708313,2011.976949,9.764874,2002.212075
1174.416626,2069.297713,9.364617,2059.933096
1362.041626,1834.348881,7.866103,1826.482778
1447.333374,1700.517955,6.697146,1693.820809
1461.083374,1589.334281,6.613155,1582.721126
1344.375,1509.272956,6.652657,1502.620299
1307.375,1473.029677,7.012624,1466.017053
1374.5,1379.408195,6.642935,1372.76526
1433,1216.888954,6.010812,1210.878142
1371.041626,1043.297689,4.430679,1038.86701
1086,923.381163,3.623831,919.757332
812.125,823.276518,2.904228,820.37229
747.125,724.636945,1.933705,722.70324
653.833313,647.310405,1.538358,645.772047
513.958313,587.062537,1.912896,585.149641
470.75,577.442427,1.972852,575.469575
411.75,631.937648,2.356243,629.581405
376.833344,560.05583,2.454096,557.601734
339.583344,496.147644,1.698788,494.448856
327.958344,461.784737,2.318479,459.466258
404.708344,600.390019,1.762785,598.627234
550.791687,860.926368,2.242145,858.684223
650.208313,1001.632549,3.426198,998.206351
823.416687,1251.488528,5.062978,1246.42555
1064.666626,1363.739614,6.884674,1356.85494
1277.291626,1455.437928,8.237987,1447.199941
1417.5,1579.672832,8.732388,1570.940444
1521.125,1795.493924,10.795153,1784.698771
2019.083374,2020.045522,13.839453,2006.206069
2107.083252,2246.345964,14.864728,2231.481236
2193.083252,2467.70572,15.920463,2451.785257
2290.958252,2622.32136,17.308806,2605.012554
2339.083252,2720.9078,16.889457,2704.018343
2314.833252,2769.731286,17.358227,2752.373059
2038.291626,2706.725325,15.961962,2690.763363
1770.25,2530.96594,14.707152,2516.258788
1903.666626,2345.382384,13.105678,2332.276706
2009.208374,2392.714876,13.439942,2379.274934
2052.875,2441.622384,13.187668,2428.434716
2265,2461.651771,13.301509,2448.350262
2249.958252,2428.63023,14.951441,2413.678789
2229.958252,2507.64835,15.488874,2492.159476
2270.166748,2578.698102,14.104978,2564.593124
2292.416748,2622.081115,14.634256,2607.446859
2400.208252,2712.216014,16.943668,2695.272346
2453.083252,2826.560747,17.777939,2808.782808
2254.333252,2978.680614,17.594853,2961.085761
2255.958252,3033.320887,20.995053,3012.325834
2296.5,3096.44317,22.982334,3073.460836
2320.083252,2977.528493,17.426791,2960.101702
2253.708252,2885.90918,16.27302,2869.63616
2118.75,2669.605774,19.189403,2650.416371
2354,2470.171299,18.8664,2451.304899
2159.875,2352.877409,17.487525,2335.389884
2019,2253.164994,17.755069,2235.409925
2003.625,2185.800724,18.707932,2167.092792
2030.833374,2071.080575,19.628572,2051.452003
1952.458374,2073.176905,18.129189,2055.047716
1676.25,2177.65855,15.872928,2161.785622
1396.375,1947.329589,13.714747,1933.614842
1367.25,1479.371914,10.252395,1469.119519
1257.625,1099.790744,6.619561,1093.171183
1042.75,818.693834,4.282028,814.411806
885.458313,587.472841,3.422323,584.050518
727.083313,391.02199,2.137545,388.884445
600.041687,243.309968,1.210748,242.09922
414,140.840665,0.718493,140.122172
278.458344,73.263801,0.300929,72.962872
193.875,33.062898,0.136692,32.926206
142.541672,43.38154,0.275448,43.106092
119.208336,97.276958,0.176674,97.100284
133.666672,155.621127,0.304715,155.316412
206.541672,277.148139,0.624318,276.523821
314.875,485.043346,1.53006,483.513286
450.125,723.467775,3.278516,720.189259
635.708313,988.027315,5.706637,982.320678
1346.5,1307.967944,7.545495,1300.422449
1695,1696.8035,10.642245,1686.161255
2026.958374,2160.946097,14.716039,2146.230058
2309.291748,2547.059374,19.481068,2527.578306
2455.625,2741.528052,23.347256,2718.180796
2457.666748,2729.500875,25.220227,2704.280648
2214.791748,2879.970496,24.304438,2855.666058
2004.083374,2969.112047,25.212715,2943.899332
2242.916748,2918.238601,24.188781,2894.04982
2262.75,2819.592553,22.670367,2796.922186
1869.041626,2023.709586,14.581186,2009.1284
1685,1574.761007,6.992928,1567.768079
1503.541626,1612.117453,7.843392,1604.274061
1478.75,1834.495678,9.268836,1825.226842
1441.75,1975.564912,9.981831,1965.583081
1432.375,2020.367553,9.662903,2010.70465
1488.458374,1826.562696,10.001016,1816.56168
1452.375,1748.588333,10.344026,1738.244307
1253.958374,1768.917975,10.064827,1758.853148
1167.416626,1548.015681,10.222033,1537.793648
1198.833374,1512.753654,9.13721,1503.616444
1115.583374,1315.899555,7.427396,1308.472159
1024.333374,1208.375755,7.532002,1200.843753
950.75,1197.318581,7.070979,1190.247602
1062.125,945.857222,4.28215,941.575072
959.625,752.142707,3.392874,748.749833
877.875,776.712808,3.041633,773.671175
828.583313,846.733561,3.575074,843.158487
801.125,934.091977,3.659007,930.43297
779.041687,911.992647,4.367578,907.625069
746.125,963.952463,4.468347,959.484116
769.666687,1038.952019,5.709156,1033.242863
1045.541626,1174.201179,8.648908,1165.552271
1297.333374,1339.811233,7.786177,1332.025056
1349.25,1533.542455,9.038033,1524.504422
1482.083374,1663.805718,10.308934,1653.496784
1413.75,1768.274781,11.397697,1756.877084
1393.458374,1746.237654,10.301215,1735.936439
1430.208374,1617.724052,8.764991,1608.959061
1488.333374,1538.826298,8.331173,1530.495125
1603.583374,1539.239898,8.492657,1530.747241
1726.791626,1569.179198,8.835318,1560.34388
1693.791626,1716.581419,9.367392,1707.214027
1762.208374,1867.230913,11.488925,1855.741988
1914.5,2130.385551,13.848,2116.537551
2072,2388.162422,15.918699,2372.243723
2105.291748,2500.907061,16.439144,2484.467917
2054.666748,2430.26388,15.752949,2414.510931
2042.625,2449.672338,16.854779,2432.817559
1998.791626,2469.686977,16.995637,2452.69134
1931,2572.567266,18.162639,2554.404627
1899.208374,2589.043813,18.523944,2570.519869
1891.75,2643.954683,18.969821,2624.984862
1826.583374,2524.676064,18.830585,2505.845479
1548.416626,2280.824963,15.50496,2265.320003
1300.25,2006.925636,11.35114,1995.574496
1334.041626,1680.259337,9.435697,1670.82364
1318.333374,1378.371294,8.556447,1369.814847
1254.541626,1263.052522,9.166401,1253.886121
1384.166626,1193.230127,8.276254,1184.953873
1388,1200.012634,7.648869,1192.363765
1355.666626,1225.964196,7.939039,1218.025157
1261.833374,1193.293686,7.683853,1185.609833
1178.291626,1124.545221,6.940758,1117.604463
1195.583374,1079.508518,6.195203,1073.313315
1212.916626,1087.604841,6.417989,1081.186852
1134.458374,1040.901028,8.143912,1032.757116
1139.791626,1000.76352,5.623716,995.139804
1152.958374,939.862851,4.922357,934.940494
1137.541626,913.294692,5.66761,907.627082
1081.208374,978.738357,6.271392,972.466965
1021.541687,981.478994,5.043457,976.435537
1094.916626,1053.222069,6.053809,1047.16826
1081.75,1117.35739,5.909222,1111.448168
1084.791626,1174.82474,6.269502,1168.555238
1115.5,1243.140406,7.615693,1235.524713
1145,1239.224595,7.492972,1231.731623
1138.25,1280.435818,7.205834,1273.229984
1009.875,1269.671349,7.597783,1262.073566
863.791687,1161.14689,7.894249,1153.252641
849,1041.586635,6.907582,1034.679053
766,874.30539,5.87743,868.42796
604.166687,729.912381,5.615912,724.296469
498.375,654.291123,4.239078,650.052045
432.708344,656.767609,4.373874,652.393735
398.166656,726.474853,5.071713,721.40314
416.25,724.218104,3.86333,720.354774
426.5,684.364291,3.206459,681.157832
468.083344,695.440322,3.498378,691.941944
472.375,728.935521,3.5743,725.361221
410.166656,657.50708,2.992485,654.514595
439.125,651.369636,2.503681,648.865955
471.833344,615.719097,2.123394,613.595703
532,579.242276,2.2739,576.968376
581.583313,535.050236,2.166944,532.883292
607.666687,536.09767,2.508335,533.589335
558.125,547.471571,1.99708,545.474491
564.791687,540.6496,1.849924,538.799676
558.666687,545.036781,1.937871,543.09891
555.166687,545.45483,1.400691,544.054139
544.458313,660.02996,1.83953,658.19043
541.916687,672.347916,1.904758,670.443158
536.458313,844.397515,1.930567,842.466948
535.125,865.004081,2.70383,862.300251
619.291687,835.359714,2.72014,832.639574
659.541687,864.351098,3.56757,860.783528
643.791687,798.586855,3.073412,795.513443
714.791687,919.752169,4.345534,915.406635
687.25,962.701626,6.155646,956.54598
712.416687,957.749119,5.881561,951.867558
752.708313,1027.992667,6.071224,1021.921443
