time,CapDev_time,DA_time,DK1 2025 (2014 WY),DK1 2035 (2014 WY),DK1 2045 (2014 WY),DK1 2025 (2012 WY),DK1 2035 (2012 WY),DK1 2045 (2012 WY),DK1 2025 (1985 WY),DK1 2045 (1985 WY),DK1 2045 (1985 WY)
06/01/2014 00.00,S01.T001,S001.T01,22.013,14.42,11.587,20.469,13.761,12.71,43.12,65.571,76.732
06/01/2014 01.00,S01.T002,S001.T02,22.146,14.42,11.587,20.469,13.761,12.71,43.12,65.571,76.732
06/01/2014 02.00,S01.T003,S001.T03,22.013,14.42,11.587,20.469,13.761,12.71,43.12,65.571,76.732
06/01/2014 03.00,S01.T004,S001.T04,21.615,14.42,11.587,20.469,13.761,12.71,43.551,65.571,76.732
06/01/2014 04.00,S01.T005,S001.T05,21.615,14.42,11.587,20.469,13.761,12.71,43.581,65.571,76.732
06/01/2014 05.00,S01.T006,S001.T06,21.682,14.42,11.587,20.469,13.761,12.71,44.238,65.571,76.732
06/01/2014 06.00,S01.T007,S001.T07,24.333,14.333,11.079,22.977,13.983,12.635,45.616,64.458,75.449
06/01/2014 07.00,S01.T008,S001.T08,29.762,14.203,11.088,27.091,14.298,12.729,47.308,64.045,75.459
06/01/2014 08.00,S01.T009,S001.T09,27.016,13.668,11.079,29.188,14.869,12.71,47.164,64.244,75.459
06/01/2014 09.00,S01.T010,S001.T10,23.286,12.806,10.953,28.669,14.055,12.467,44.892,61.813,73.928
06/01/2014 10.00,S01.T011,S001.T11,21.172,10.162,9.824,29.013,14.059,12.411,42.629,60.166,71.165
06/01/2014 11.00,S01.T012,S001.T12,20.81,9.708,9.155,28.248,13.24,12.173,43.131,60.24,71.165
06/01/2014 12.00,S01.T013,S001.T13,20.81,9.708,9.155,24.077,13.034,12.173,43.966,61.631,73.161
06/01/2014 13.00,S01.T014,S001.T14,21.072,9.708,9.18,23.905,13.034,12.173,45.443,62.967,74.148
06/01/2014 14.00,S01.T015,S001.T15,22.119,10.409,10.526,25.383,13.042,12.467,47.333,64.257,74.747
06/01/2014 15.00,S01.T016,S001.T16,24.344,13.28,11.114,26.25,13.761,12.71,63.245,70.65,76.732
06/01/2014 16.00,S01.T017,S001.T17,26.142,13.94,11.564,26.25,13.865,12.71,63.245,90.339,76.732
06/01/2014 17.00,S01.T018,S001.T18,24.735,13.94,11.564,24.766,13.761,12.71,63.245,90.339,76.819
06/01/2014 18.00,S01.T019,S001.T19,23.563,13.94,11.564,24.271,13.761,12.71,63.245,90.339,76.732
06/01/2014 19.00,S01.T020,S001.T20,23.26,13.94,11.564,24.271,13.761,12.71,63.245,90.339,76.732
06/01/2014 20.00,S01.T021,S001.T21,22.986,13.94,11.564,24.271,13.761,12.71,63.245,85.649,76.732
06/01/2014 21.00,S01.T022,S001.T22,22.986,13.94,11.564,23.62,13.761,12.71,63.245,87.842,76.732
06/01/2014 22.00,S01.T023,S001.T23,21.573,13.94,11.564,22.997,13.761,12.71,47.499,69.297,76.732
06/01/2014 23.00,S01.T024,S001.T24,21.072,13.94,11.564,21.135,13.761,12.71,48.843,72.153,76.732
07/01/2014 00.00,S01.T025,S002.T01,23.286,19.625,4.222,22.574,7.839,3.793,50.995,92.922,76.976
07/01/2014 01.00,S01.T026,S002.T02,23.286,19.625,4.222,22.574,7.839,3.793,50.995,92.922,76.976
07/01/2014 02.00,S01.T027,S002.T03,23.286,19.625,4.222,22.574,7.839,3.793,50.995,92.922,76.976
07/01/2014 03.00,S01.T028,S002.T04,23.286,19.625,4.222,22.574,7.839,3.793,50.995,92.922,76.976
07/01/2014 04.00,S01.T029,S002.T05,23.286,19.625,4.222,22.574,7.839,3.793,50.995,92.922,76.976
07/01/2014 05.00,S01.T030,S002.T06,23.389,19.625,4.222,22.778,7.839,3.793,52.702,93.526,76.976
07/01/2014 06.00,S01.T031,S002.T07,24.906,19.625,3.985,23.468,8.084,3.67,54.245,92.202,75.581
