MTU (CET/CEST),2023,2022,2021
01.01.2023 00:00 - 01.01.2023 01:00,0.140581542,0.203960905,0.025771812
01.01.2023 01:00 - 01.01.2023 02:00,0.161567636,0.205504115,0.022550336
01.01.2023 02:00 - 01.01.2023 03:00,0.185840708,0.2031893,0.018791946
01.01.2023 03:00 - 01.01.2023 04:00,0.219974716,0.184156379,0.016375839
01.01.2023 04:00 - 01.01.2023 05:00,0.264728192,0.152777778,0.014496644
01.01.2023 05:00 - 01.01.2023 06:00,0.330720607,0.109053498,0.011543624
01.01.2023 06:00 - 01.01.2023 07:00,0.367130215,0.082047325,0.009932886
01.01.2023 07:00 - 01.01.2023 08:00,0.376485461,0.063271605,0.009932886
01.01.2023 08:00 - 01.01.2023 09:00,0.465486726,0.049125514,0.011006711
01.01.2023 09:00 - 01.01.2023 10:00,0.534513274,0.038837449,0.013959732
01.01.2023 10:00 - 01.01.2023 11:00,0.551201011,0.029320988,0.016375839
01.01.2023 11:00 - 01.01.2023 12:00,0.617446271,0.029578189,0.018255034
01.01.2023 12:00 - 01.01.2023 13:00,0.614412137,0.043467078,0.017986577
01.01.2023 13:00 - 01.01.2023 14:00,0.615423515,0.06095679,0.016107383
01.01.2023 14:00 - 01.01.2023 15:00,0.622756005,0.087191358,0.016644295
01.01.2023 15:00 - 01.01.2023 16:00,0.635145386,0.137860082,0.01852349
01.01.2023 16:00 - 01.01.2023 17:00,0.649557522,0.207047325,0.021208054
01.01.2023 17:00 - 01.01.2023 18:00,0.603034134,0.298096708,0.020402685
01.01.2023 18:00 - 01.01.2023 19:00,0.439949431,0.402006173,0.018255034
01.01.2023 19:00 - 01.01.2023 20:00,0.323388116,0.462191358,0.017718121
01.01.2023 20:00 - 01.01.2023 21:00,0.313780025,0.490226337,0.017181208
01.01.2023 21:00 - 01.01.2023 22:00,0.277623262,0.493569959,0.014228188
01.01.2023 22:00 - 01.01.2023 23:00,0.249557522,0.484567901,0.011812081
01.01.2023 23:00 - 02.01.2023 00:00,0.242983565,0.463734568,0.010469799
02.01.2023 00:00 - 02.01.2023 01:00,0.332996207,0.440843621,0.019865772
02.01.2023 01:00 - 02.01.2023 02:00,0.289001264,0.389403292,0.020402685
02.01.2023 02:00 - 02.01.2023 03:00,0.238432364,0.359053498,0.020671141
02.01.2023 03:00 - 02.01.2023 04:00,0.20505689,0.328446502,0.020402685
02.01.2023 04:00 - 02.01.2023 05:00,0.169911504,0.309156379,0.017181208
02.01.2023 05:00 - 02.01.2023 06:00,0.128192162,0.28909465,0.012885906
02.01.2023 06:00 - 02.01.2023 07:00,0.093552465,0.290123457,0.011812081
02.01.2023 07:00 - 02.01.2023 08:00,0.069785082,0.284207819,0.012080537
02.01.2023 08:00 - 02.01.2023 09:00,0.062705436,0.257973251,0.011543624
02.01.2023 09:00 - 02.01.2023 10:00,0.057395702,0.231995885,0.011812081
02.01.2023 10:00 - 02.01.2023 11:00,0.047281922,0.204475309,0.012348993
02.01.2023 11:00 - 02.01.2023 12:00,0.049304678,0.184670782,0.012885906
02.01.2023 12:00 - 02.01.2023 13:00,0.045006321,0.162294239,0.013154362
02.01.2023 13:00 - 02.01.2023 14:00,0.047281922,0.132201646,0.011543624
02.01.2023 14:00 - 02.01.2023 15:00,0.059671302,0.117798354,0.013422819
02.01.2023 15:00 - 02.01.2023 16:00,0.075600506,0.122685185,0.015302013
02.01.2023 16:00 - 02.01.2023 17:00,0.101896334,0.142489712,0.019597315
02.01.2023 17:00 - 02.01.2023 18:00,0.138811631,0.193415638,0.024161074
02.01.2023 18:00 - 02.01.2023 19:00,0.173198483,0.252314815,0.02738255
02.01.2023 19:00 - 02.01.2023 20:00,0.219974716,0.290895062,0.032483221
02.01.2023 20:00 - 02.01.2023 21:00,0.242225032,0.325617284,0.034362416
02.01.2023 21:00 - 02.01.2023 22:00,0.296839444,0.33744856,0.035436242
02.01.2023 22:00 - 02.01.2023 23:00,0.34437421,0.330761317,0.040268456
02.01.2023 23:00 - 03.01.2023 00:00,0.365865992,0.315072016,0.045369128
03.01.2023 00:00 - 03.01.2023 01:00,0.367130215,0.277520576,0.066845638
03.01.2023 01:00 - 03.01.2023 02:00,0.338053097,0.266203704,0.078926174
03.01.2023 02:00 - 03.01.2023 03:00,0.328697851,0.287037037,0.093691275
03.01.2023 03:00 - 03.01.2023 04:00,0.345132743,0.316872428,0.102818792
03.01.2023 04:00 - 03.01.2023 05:00,0.360303413,0.357510288,0.115973154
03.01.2023 05:00 - 03.01.2023 06:00,0.345385588,0.414609053,0.137181208
03.01.2023 06:00 - 03.01.2023 07:00,0.274336283,0.494084362,0.155973154
03.01.2023 07:00 - 03.01.2023 08:00,0.205309735,0.561985597,0.16295302
03.01.2023 08:00 - 03.01.2023 09:00,0.188874842,0.617798354,0.182281879
03.01.2023 09:00 - 03.01.2023 10:00,0.165360303,0.643518519,0.204563758
03.01.2023 10:00 - 03.01.2023 11:00,0.129962073,0.649691358,0.21852349
03.01.2023 11:00 - 03.01.2023 12:00,0.11908976,0.691100823,0.242416107
03.01.2023 12:00 - 03.01.2023 13:00,0.104171934,0.71399177,0.251275168
03.01.2023 13:00 - 03.01.2023 14:00,0.095322377,0.674639918,0.271677852
03.01.2023 14:00 - 03.01.2023 15:00,0.08596713,0.670010288,0.285100671
03.01.2023 15:00 - 03.01.2023 16:00,0.082932996,0.699331276,0.302013423
03.01.2023 16:00 - 03.01.2023 17:00,0.102402023,0.668981481,0.340402685
03.01.2023 17:00 - 03.01.2023 18:00,0.13931732,0.577160494,0.339597315
03.01.2023 18:00 - 03.01.2023 19:00,0.164348925,0.48122428,0.329395973
03.01.2023 19:00 - 03.01.2023 20:00,0.208091024,0.396347737,0.321342282
03.01.2023 20:00 - 03.01.2023 21:00,0.269279393,0.336162551,0.31409396
03.01.2023 21:00 - 03.01.2023 22:00,0.322882427,0.2968107,0.302818792
03.01.2023 22:00 - 03.01.2023 23:00,0.358533502,0.269032922,0.285100671
03.01.2023 23:00 - 04.01.2023 00:00,0.384576485,0.253343621,0.278926174
04.01.2023 00:00 - 04.01.2023 01:00,0.510493047,0.25,0.279194631
04.01.2023 01:00 - 04.01.2023 02:00,0.532743363,0.241769547,0.279731544
04.01.2023 02:00 - 04.01.2023 03:00,0.55448799,0.250514403,0.270067114
04.01.2023 03:00 - 04.01.2023 04:00,0.579266751,0.260545267,0.258255034
04.01.2023 04:00 - 04.01.2023 05:00,0.591403287,0.267489712,0.257986577
04.01.2023 05:00 - 04.01.2023 06:00,0.585335019,0.273662551,0.254496644
04.01.2023 06:00 - 04.01.2023 07:00,0.515297092,0.292695473,0.263087248
04.01.2023 07:00 - 04.01.2023 08:00,0.447534766,0.318415638,0.265771812
04.01.2023 08:00 - 04.01.2023 09:00,0.481415929,0.347479424,0.266845638
04.01.2023 09:00 - 04.01.2023 10:00,0.507964602,0.363683128,0.27033557
04.01.2023 10:00 - 04.01.2023 11:00,0.51908976,0.354938272,0.271677852
04.01.2023 11:00 - 04.01.2023 12:00,0.572692794,0.372427984,0.271409396
04.01.2023 12:00 - 04.01.2023 13:00,0.568900126,0.394290123,0.252080537
04.01.2023 13:00 - 04.01.2023 14:00,0.563843236,0.384773663,0.250469799
04.01.2023 14:00 - 04.01.2023 15:00,0.573957016,0.383744856,0.245100671
04.01.2023 15:00 - 04.01.2023 16:00,0.579519595,0.373199588,0.24295302
04.01.2023 16:00 - 04.01.2023 17:00,0.606826802,0.382201646,0.263355705
04.01.2023 17:00 - 04.01.2023 18:00,0.62022756,0.425411523,0.259328859
04.01.2023 18:00 - 04.01.2023 19:00,0.569911504,0.462705761,0.255033557
04.01.2023 19:00 - 04.01.2023 20:00,0.570417193,0.468364198,0.25852349
04.01.2023 20:00 - 04.01.2023 21:00,0.580783818,0.489197531,0.268724832
04.01.2023 21:00 - 04.01.2023 22:00,0.586599241,0.50617284,0.276510067
04.01.2023 22:00 - 04.01.2023 23:00,0.569911504,0.537294239,0.272483221
04.01.2023 23:00 - 05.01.2023 00:00,0.535777497,0.547582305,0.270067114
05.01.2023 00:00 - 05.01.2023 01:00,0.595195954,0.565072016,0.284832215
05.01.2023 01:00 - 05.01.2023 02:00,0.546144121,0.549382716,0.292348993
05.01.2023 02:00 - 05.01.2023 03:00,0.510493047,0.529578189,0.291275168
05.01.2023 03:00 - 05.01.2023 04:00,0.506700379,0.481738683,0.271946309
05.01.2023 04:00 - 05.01.2023 05:00,0.513527181,0.444958848,0.267114094
05.01.2023 05:00 - 05.01.2023 06:00,0.493552465,0.406635802,0.269261745
05.01.2023 06:00 - 05.01.2023 07:00,0.423767383,0.37962963,0.277315436
05.01.2023 07:00 - 05.01.2023 08:00,0.352970923,0.376800412,0.274899329
05.01.2023 08:00 - 05.01.2023 09:00,0.345638432,0.360082305,0.272214765
05.01.2023 09:00 - 05.01.2023 10:00,0.318078382,0.35468107,0.262013423
05.01.2023 10:00 - 05.01.2023 11:00,0.263716814,0.366255144,0.262550336
05.01.2023 11:00 - 05.01.2023 12:00,0.223767383,0.3906893,0.27033557
05.01.2023 12:00 - 05.01.2023 13:00,0.183817952,0.397633745,0.26442953
05.01.2023 13:00 - 05.01.2023 14:00,0.1517067,0.363940329,0.268456376
05.01.2023 14:00 - 05.01.2023 15:00,0.104677623,0.331790123,0.268724832
05.01.2023 15:00 - 05.01.2023 16:00,0.070290771,0.30632716,0.263624161
05.01.2023 16:00 - 05.01.2023 17:00,0.049051833,0.316872428,0.282147651
05.01.2023 17:00 - 05.01.2023 18:00,0.036156764,0.327160494,0.270067114
05.01.2023 18:00 - 05.01.2023 19:00,0.030088496,0.308641975,0.259328859
05.01.2023 19:00 - 05.01.2023 20:00,0.033881163,0.273662551,0.261744966
05.01.2023 20:00 - 05.01.2023 21:00,0.052338812,0.297067901,0.273020134
05.01.2023 21:00 - 05.01.2023 22:00,0.079646018,0.309927984,0.276778523
05.01.2023 22:00 - 05.01.2023 23:00,0.113780025,0.313271605,0.270872483
05.01.2023 23:00 - 06.01.2023 00:00,0.160809102,0.294238683,0.276241611
06.01.2023 00:00 - 06.01.2023 01:00,0.340581542,0.302211934,0.250201342
06.01.2023 01:00 - 06.01.2023 02:00,0.428571429,0.262602881,0.263892617
06.01.2023 02:00 - 06.01.2023 03:00,0.512515803,0.217592593,0.276241611
06.01.2023 03:00 - 06.01.2023 04:00,0.583817952,0.166409465,0.274899329
06.01.2023 04:00 - 06.01.2023 05:00,0.620986094,0.128343621,0.281610738
06.01.2023 05:00 - 06.01.2023 06:00,0.621491783,0.092078189,0.296912752
06.01.2023 06:00 - 06.01.2023 07:00,0.560050569,0.064814815,0.32590604
06.01.2023 07:00 - 06.01.2023 08:00,0.506700379,0.047067901,0.344697987
06.01.2023 08:00 - 06.01.2023 09:00,0.567130215,0.039351852,0.357852349
06.01.2023 09:00 - 06.01.2023 10:00,0.572187105,0.032921811,0.357315436
06.01.2023 10:00 - 06.01.2023 11:00,0.472566372,0.028034979,0.361610738
06.01.2023 11:00 - 06.01.2023 12:00,0.426042984,0.030349794,0.375838926
06.01.2023 12:00 - 06.01.2023 13:00,0.380278129,0.035236626,0.370469799
06.01.2023 13:00 - 06.01.2023 14:00,0.373957016,0.036265432,0.38738255
06.01.2023 14:00 - 06.01.2023 15:00,0.36460177,0.037294239,0.404026846
06.01.2023 15:00 - 06.01.2023 16:00,0.362073325,0.042695473,0.416107383
06.01.2023 16:00 - 06.01.2023 17:00,0.376232617,0.04526749,0.440536913
06.01.2023 17:00 - 06.01.2023 18:00,0.367130215,0.053240741,0.417449664
06.01.2023 18:00 - 06.01.2023 19:00,0.317067004,0.070987654,0.391409396
06.01.2023 19:00 - 06.01.2023 20:00,0.295069532,0.096965021,0.379597315
06.01.2023 20:00 - 06.01.2023 21:00,0.303160556,0.122170782,0.373691275
06.01.2023 21:00 - 06.01.2023 22:00,0.282174463,0.161265432,0.354630872
06.01.2023 22:00 - 06.01.2023 23:00,0.258912769,0.207561728,0.324295302
06.01.2023 23:00 - 07.01.2023 00:00,0.24045512,0.259259259,0.308724832
07.01.2023 00:00 - 07.01.2023 01:00,0.26852086,0.389917695,0.252080537
07.01.2023 01:00 - 07.01.2023 02:00,0.242730721,0.415123457,0.253154362
07.01.2023 02:00 - 07.01.2023 03:00,0.221997472,0.467849794,0.240268456
07.01.2023 03:00 - 07.01.2023 04:00,0.209608091,0.514403292,0.227651007
07.01.2023 04:00 - 07.01.2023 05:00,0.202528445,0.553755144,0.224966443
07.01.2023 05:00 - 07.01.2023 06:00,0.196965866,0.574588477,0.22147651
07.01.2023 06:00 - 07.01.2023 07:00,0.188621997,0.582047325,0.22442953
07.01.2023 07:00 - 07.01.2023 08:00,0.194690265,0.556841564,0.220402685
07.01.2023 08:00 - 07.01.2023 09:00,0.264475348,0.482510288,0.209127517
07.01.2023 09:00 - 07.01.2023 10:00,0.327939317,0.394032922,0.193557047
07.01.2023 10:00 - 07.01.2023 11:00,0.341087231,0.324588477,0.183355705
07.01.2023 11:00 - 07.01.2023 12:00,0.37471555,0.299639918,0.178255034
07.01.2023 12:00 - 07.01.2023 13:00,0.357522124,0.279320988,0.161610738
07.01.2023 13:00 - 07.01.2023 14:00,0.352212389,0.245884774,0.156778523
07.01.2023 14:00 - 07.01.2023 15:00,0.361567636,0.221965021,0.15033557
07.01.2023 15:00 - 07.01.2023 16:00,0.376232617,0.207304527,0.144697987
07.01.2023 16:00 - 07.01.2023 17:00,0.405562579,0.194701646,0.14738255
07.01.2023 17:00 - 07.01.2023 18:00,0.436662453,0.184670782,0.138255034
07.01.2023 18:00 - 07.01.2023 19:00,0.428318584,0.176440329,0.131275168
07.01.2023 19:00 - 07.01.2023 20:00,0.44551201,0.162294239,0.12966443
07.01.2023 20:00 - 07.01.2023 21:00,0.484197219,0.166409465,0.131812081
07.01.2023 21:00 - 07.01.2023 22:00,0.523893805,0.16872428,0.131006711
07.01.2023 22:00 - 07.01.2023 23:00,0.532237674,0.171296296,0.126979866
07.01.2023 23:00 - 08.01.2023 00:00,0.519595449,0.16409465,0.128053691
08.01.2023 00:00 - 08.01.2023 01:00,0.516561315,0.176954733,0.092885906
08.01.2023 01:00 - 08.01.2023 02:00,0.505436157,0.174639918,0.099865772
08.01.2023 02:00 - 08.01.2023 03:00,0.488242731,0.177983539,0.099060403
08.01.2023 03:00 - 08.01.2023 04:00,0.480151707,0.181841564,0.09557047
08.01.2023 04:00 - 08.01.2023 05:00,0.478381795,0.205761317,0.097718121
08.01.2023 05:00 - 08.01.2023 06:00,0.461946903,0.237397119,0.106845638
08.01.2023 06:00 - 08.01.2023 07:00,0.391403287,0.277263374,0.117315436
08.01.2023 07:00 - 08.01.2023 08:00,0.328697851,0.313271605,0.120268456
08.01.2023 08:00 - 08.01.2023 09:00,0.337294564,0.326903292,0.123221477
08.01.2023 09:00 - 08.01.2023 10:00,0.333249052,0.306069959,0.122147651
08.01.2023 10:00 - 08.01.2023 11:00,0.317319848,0.256944444,0.121610738
08.01.2023 11:00 - 08.01.2023 12:00,0.349936789,0.214763374,0.121342282
08.01.2023 12:00 - 08.01.2023 13:00,0.350948167,0.18287037,0.113825503
08.01.2023 13:00 - 08.01.2023 14:00,0.342857143,0.14994856,0.115704698
08.01.2023 14:00 - 08.01.2023 15:00,0.31908976,0.119598765,0.115704698
08.01.2023 15:00 - 08.01.2023 16:00,0.297850822,0.107510288,0.114630872
08.01.2023 16:00 - 08.01.2023 17:00,0.302402023,0.115997942,0.123221477
08.01.2023 17:00 - 08.01.2023 18:00,0.306700379,0.139403292,0.120268456
08.01.2023 18:00 - 08.01.2023 19:00,0.286725664,0.172839506,0.116510067
08.01.2023 19:00 - 08.01.2023 20:00,0.288242731,0.205504115,0.115436242
08.01.2023 20:00 - 08.01.2023 21:00,0.291529709,0.244855967,0.112214765
08.01.2023 21:00 - 08.01.2023 22:00,0.287737042,0.279320988,0.103355705
08.01.2023 22:00 - 08.01.2023 23:00,0.273324905,0.315329218,0.091543624
08.01.2023 23:00 - 09.01.2023 00:00,0.25840708,0.338734568,0.086711409
09.01.2023 00:00 - 09.01.2023 01:00,0.276864728,0.4375,0.084295302
09.01.2023 01:00 - 09.01.2023 02:00,0.27357775,0.445216049,0.079731544
09.01.2023 02:00 - 09.01.2023 03:00,0.274336283,0.450617284,0.069261745
09.01.2023 03:00 - 09.01.2023 04:00,0.282174463,0.444187243,0.05557047
09.01.2023 04:00 - 09.01.2023 05:00,0.289506953,0.44058642,0.046711409
09.01.2023 05:00 - 09.01.2023 06:00,0.287737042,0.427469136,0.039731544
09.01.2023 06:00 - 09.01.2023 07:00,0.255372946,0.418981481,0.034899329
09.01.2023 07:00 - 09.01.2023 08:00,0.218457649,0.404835391,0.028456376
09.01.2023 08:00 - 09.01.2023 09:00,0.214664981,0.383744856,0.022013423
09.01.2023 09:00 - 09.01.2023 10:00,0.193678887,0.344650206,0.016107383
09.01.2023 10:00 - 09.01.2023 11:00,0.152718078,0.296039095,0.011275168
09.01.2023 11:00 - 09.01.2023 12:00,0.125916561,0.281378601,0.007516779
09.01.2023 12:00 - 09.01.2023 13:00,0.109481669,0.272119342,0.005100671
09.01.2023 13:00 - 09.01.2023 14:00,0.100632111,0.246399177,0.004563758
09.01.2023 14:00 - 09.01.2023 15:00,0.105183312,0.235082305,0.005369128
09.01.2023 15:00 - 09.01.2023 16:00,0.107964602,0.238940329,0.010469799
09.01.2023 16:00 - 09.01.2023 17:00,0.118331226,0.238425926,0.019328859
09.01.2023 17:00 - 09.01.2023 18:00,0.119342604,0.243569959,0.031409396
09.01.2023 18:00 - 09.01.2023 19:00,0.103666245,0.253858025,0.048322148
09.01.2023 19:00 - 09.01.2023 20:00,0.110998736,0.253600823,0.069530201
09.01.2023 20:00 - 09.01.2023 21:00,0.119342604,0.272376543,0.094496644
09.01.2023 21:00 - 09.01.2023 22:00,0.134513274,0.282407407,0.124026846
09.01.2023 22:00 - 09.01.2023 23:00,0.147155499,0.28600823,0.161879195
09.01.2023 23:00 - 10.01.2023 00:00,0.153729456,0.281121399,0.209127517
10.01.2023 00:00 - 10.01.2023 01:00,0.141087231,0.276234568,0.269530201
10.01.2023 01:00 - 10.01.2023 02:00,0.142857143,0.273148148,0.320805369
10.01.2023 02:00 - 10.01.2023 03:00,0.141340076,0.269804527,0.371006711
10.01.2023 03:00 - 10.01.2023 04:00,0.140328698,0.265174897,0.373154362
10.01.2023 04:00 - 10.01.2023 05:00,0.137547408,0.268004115,0.371812081
10.01.2023 05:00 - 10.01.2023 06:00,0.137041719,0.264917695,0.353288591
10.01.2023 06:00 - 10.01.2023 07:00,0.135524652,0.260030864,0.318389262
10.01.2023 07:00 - 10.01.2023 08:00,0.135271808,0.251800412,0.261208054
10.01.2023 08:00 - 10.01.2023 09:00,0.156510746,0.239454733,0.20885906
10.01.2023 09:00 - 10.01.2023 10:00,0.16687737,0.222993827,0.164026846
10.01.2023 10:00 - 10.01.2023 11:00,0.162831858,0.200102881,0.147651007
10.01.2023 11:00 - 10.01.2023 12:00,0.180783818,0.197016461,0.12590604
10.01.2023 12:00 - 10.01.2023 13:00,0.173704172,0.193930041,0.114362416
10.01.2023 13:00 - 10.01.2023 14:00,0.180025284,0.174897119,0.113557047
10.01.2023 14:00 - 10.01.2023 15:00,0.190391909,0.157150206,0.114899329
10.01.2023 15:00 - 10.01.2023 16:00,0.204298357,0.141460905,0.111409396
10.01.2023 16:00 - 10.01.2023 17:00,0.246017699,0.136059671,0.127248322
10.01.2023 17:00 - 10.01.2023 18:00,0.305436157,0.144804527,0.126711409
10.01.2023 18:00 - 10.01.2023 19:00,0.361567636,0.163837449,0.126979866
10.01.2023 19:00 - 10.01.2023 20:00,0.448798989,0.181584362,0.136107383
10.01.2023 20:00 - 10.01.2023 21:00,0.527939317,0.192644033,0.151946309
10.01.2023 21:00 - 10.01.2023 22:00,0.609102402,0.201903292,0.169932886
10.01.2023 22:00 - 10.01.2023 23:00,0.656384324,0.21090535,0.186845638
10.01.2023 23:00 - 11.01.2023 00:00,0.669532238,0.224279835,0.22442953
11.01.2023 00:00 - 11.01.2023 01:00,0.696586599,0.156893004,0.192214765
11.01.2023 01:00 - 11.01.2023 02:00,0.679140329,0.155864198,0.223624161
11.01.2023 02:00 - 11.01.2023 03:00,0.675347661,0.160751029,0.307114094
11.01.2023 03:00 - 11.01.2023 04:00,0.687231353,0.167438272,0.369127517
11.01.2023 04:00 - 11.01.2023 05:00,0.688242731,0.187757202,0.432483221
11.01.2023 05:00 - 11.01.2023 06:00,0.650316056,0.214506173,0.511677852
11.01.2023 06:00 - 11.01.2023 07:00,0.542351454,0.246656379,0.544966443
11.01.2023 07:00 - 11.01.2023 08:00,0.429835651,0.282921811,0.548724832
11.01.2023 08:00 - 11.01.2023 09:00,0.401264223,0.323045267,0.566979866
11.01.2023 09:00 - 11.01.2023 10:00,0.357774968,0.342592593,0.582550336
11.01.2023 10:00 - 11.01.2023 11:00,0.327433628,0.336419753,0.589798658
11.01.2023 11:00 - 11.01.2023 12:00,0.33931732,0.355195473,0.627651007
11.01.2023 12:00 - 11.01.2023 13:00,0.3494311,0.372170782,0.628993289
11.01.2023 13:00 - 11.01.2023 14:00,0.359039191,0.360339506,0.637852349
11.01.2023 14:00 - 11.01.2023 15:00,0.367635904,0.362139918,0.641610738
11.01.2023 15:00 - 11.01.2023 16:00,0.372692794,0.381944444,0.620671141
