time,2012 Denmark_HH80_SP400
01/01/2012 00.00,0.3363
01/01/2012 01.00,0.3713
01/01/2012 02.00,0.4015
01/01/2012 03.00,0.4229
01/01/2012 04.00,0.4261
01/01/2012 05.00,0.4553
01/01/2012 06.00,0.5919
01/01/2012 07.00,0.6656
01/01/2012 08.00,0.6287
01/01/2012 09.00,0.5432
01/01/2012 10.00,0.4202
01/01/2012 11.00,0.3694
01/01/2012 12.00,0.3698
01/01/2012 13.00,0.345
01/01/2012 14.00,0.3528
01/01/2012 15.00,0.3764
01/01/2012 16.00,0.4084
01/01/2012 17.00,0.2887
01/01/2012 18.00,0.3102
01/01/2012 19.00,0.402
01/01/2012 20.00,0.3253
01/01/2012 21.00,0.3598
01/01/2012 22.00,0.2865
01/01/2012 23.00,0.2748
02/01/2012 00.00,0.1342
02/01/2012 01.00,0.0443
02/01/2012 02.00,0.0817
02/01/2012 03.00,0.2217
02/01/2012 04.00,0.3121
02/01/2012 05.00,0.468
02/01/2012 06.00,0.4277
02/01/2012 07.00,0.3577
02/01/2012 08.00,0.3689
02/01/2012 09.00,0.311
02/01/2012 10.00,0.3282
02/01/2012 11.00,0.3344
02/01/2012 12.00,0.3103
02/01/2012 13.00,0.316
02/01/2012 14.00,0.2327
02/01/2012 15.00,0.2307
02/01/2012 16.00,0.2943
02/01/2012 17.00,0.3264
02/01/2012 18.00,0.3604
02/01/2012 19.00,0.4051
02/01/2012 20.00,0.4847
02/01/2012 21.00,0.4986
02/01/2012 22.00,0.4313
02/01/2012 23.00,0.4798
03/01/2012 00.00,0.5484
03/01/2012 01.00,0.5378
03/01/2012 02.00,0.5449
03/01/2012 03.00,0.5397
03/01/2012 04.00,0.6382
03/01/2012 05.00,0.6987
03/01/2012 06.00,0.7541
03/01/2012 07.00,0.7833
03/01/2012 08.00,0.8104
03/01/2012 09.00,0.8524
03/01/2012 10.00,0.8777
03/01/2012 11.00,0.9058
03/01/2012 12.00,0.9426
03/01/2012 13.00,0.9472
03/01/2012 14.00,0.9489
03/01/2012 15.00,0.949
03/01/2012 16.00,0.949
03/01/2012 17.00,0.9492
03/01/2012 18.00,0.9474
03/01/2012 19.00,0.9401
03/01/2012 20.00,0.9485
03/01/2012 21.00,0.9495
03/01/2012 22.00,0.9494
03/01/2012 23.00,0.9498
04/01/2012 00.00,0.9499
04/01/2012 01.00,0.9499
04/01/2012 02.00,0.9499
04/01/2012 03.00,0.9499
04/01/2012 04.00,0.9499
04/01/2012 05.00,0.9498
04/01/2012 06.00,0.9497
04/01/2012 07.00,0.9495
04/01/2012 08.00,0.9491
04/01/2012 09.00,0.9484
04/01/2012 10.00,0.9466
04/01/2012 11.00,0.9432
04/01/2012 12.00,0.9461
04/01/2012 13.00,0.9375
04/01/2012 14.00,0.9344
04/01/2012 15.00,0.9369
04/01/2012 16.00,0.9232
04/01/2012 17.00,0.9208
04/01/2012 18.00,0.9168
04/01/2012 19.00,0.9148
04/01/2012 20.00,0.9224
04/01/2012 21.00,0.9154
04/01/2012 22.00,0.9053
04/01/2012 23.00,0.9249
05/01/2012 00.00,0.9249
05/01/2012 01.00,0.8973
05/01/2012 02.00,0.8799
05/01/2012 03.00,0.8978
05/01/2012 04.00,0.8989
05/01/2012 05.00,0.9372
05/01/2012 06.00,0.9451
05/01/2012 07.00,0.9494
05/01/2012 08.00,0.9494
05/01/2012 09.00,0.9491
05/01/2012 10.00,0.948
05/01/2012 11.00,0.9263
05/01/2012 12.00,0.8066
05/01/2012 13.00,0.5563
05/01/2012 14.00,0.4931
05/01/2012 15.00,0.4988
05/01/2012 16.00,0.4819
05/01/2012 17.00,0.5612
05/01/2012 18.00,0.6846
05/01/2012 19.00,0.7537
05/01/2012 20.00,0.774
05/01/2012 21.00,0.7486
05/01/2012 22.00,0.7765
05/01/2012 23.00,0.7726
06/01/2012 00.00,0.7264
06/01/2012 01.00,0.6789
06/01/2012 02.00,0.6932
06/01/2012 03.00,0.7266
06/01/2012 04.00,0.6796
06/01/2012 05.00,0.5621
06/01/2012 06.00,0.4647
06/01/2012 07.00,0.4509
06/01/2012 08.00,0.3732
06/01/2012 09.00,0.4238
06/01/2012 10.00,0.2679
06/01/2012 11.00,0.2265
06/01/2012 12.00,0.241
06/01/2012 13.00,0.1484
06/01/2012 14.00,0.1191
06/01/2012 15.00,0.1161
06/01/2012 16.00,0.1255
06/01/2012 17.00,0.1955
06/01/2012 18.00,0.2644
06/01/2012 19.00,0.301
06/01/2012 20.00,0.3826
06/01/2012 21.00,0.4567
06/01/2012 22.00,0.4609
06/01/2012 23.00,0.5201
07/01/2012 00.00,0.5039
07/01/2012 01.00,0.5643
07/01/2012 02.00,0.4932
07/01/2012 03.00,0.4561
07/01/2012 04.00,0.459
07/01/2012 05.00,0.4556
07/01/2012 06.00,0.4246
07/01/2012 07.00,0.4671
07/01/2012 08.00,0.4158
07/01/2012 09.00,0.3869
07/01/2012 10.00,0.4007
07/01/2012 11.00,0.4488
07/01/2012 12.00,0.4936
07/01/2012 13.00,0.5287
07/01/2012 14.00,0.5802
07/01/2012 15.00,0.6289
07/01/2012 16.00,0.679
07/01/2012 17.00,0.7306
07/01/2012 18.00,0.7354
07/01/2012 19.00,0.6763
07/01/2012 20.00,0.624
07/01/2012 21.00,0.5837
07/01/2012 22.00,0.5169
07/01/2012 23.00,0.5142
08/01/2012 00.00,0.5256
08/01/2012 01.00,0.4755
08/01/2012 02.00,0.3868
08/01/2012 03.00,0.3238
08/01/2012 04.00,0.2486
08/01/2012 05.00,0.1984
08/01/2012 06.00,0.1739
08/01/2012 07.00,0.1532
08/01/2012 08.00,0.1289
08/01/2012 09.00,0.1168
08/01/2012 10.00,0.1538
08/01/2012 11.00,0.1308
08/01/2012 12.00,0.0685
08/01/2012 13.00,0.0765
08/01/2012 14.00,0.1243
08/01/2012 15.00,0.1451
08/01/2012 16.00,0.1039
08/01/2012 17.00,0.0704
08/01/2012 18.00,0.0571
08/01/2012 19.00,0.046
08/01/2012 20.00,0.0328
08/01/2012 21.00,0.0211
08/01/2012 22.00,0.0064
08/01/2012 23.00,0.0064
09/01/2012 00.00,0.0189
09/01/2012 01.00,0.0555
09/01/2012 02.00,0.0562
09/01/2012 03.00,0.0558
09/01/2012 04.00,0.0275
09/01/2012 05.00,0.0119
09/01/2012 06.00,0.0049
09/01/2012 07.00,0.0002
09/01/2012 08.00,0.0028
09/01/2012 09.00,0.0226
09/01/2012 10.00,0.0606
09/01/2012 11.00,0.108
09/01/2012 12.00,0.1585
09/01/2012 13.00,0.16
09/01/2012 14.00,0.2223
09/01/2012 15.00,0.2991
09/01/2012 16.00,0.2762
09/01/2012 17.00,0.303
09/01/2012 18.00,0.5171
09/01/2012 19.00,0.8402
09/01/2012 20.00,0.9065
09/01/2012 21.00,0.9057
09/01/2012 22.00,0.8502
09/01/2012 23.00,0.8988
10/01/2012 00.00,0.9057
10/01/2012 01.00,0.8599
10/01/2012 02.00,0.7232
10/01/2012 03.00,0.5723
10/01/2012 04.00,0.4105
10/01/2012 05.00,0.3452
10/01/2012 06.00,0.268
10/01/2012 07.00,0.2271
