P_SM_t_opt_beta0,P_PPA_t_opt_beta0
24.29786,3.78
24.740119999999997,3.78
24.184020000000007,3.78
8.35758,3.78
35.0066,3.78
24.864839999999997,3.78
48.22,3.78
48.22,3.78
32.806619999999995,3.78
48.22,3.78
31.975019999999994,3.78
48.22,3.78
30.205979999999997,3.78
30.822119999999998,3.78
41.107519999999994,3.78
37.917199999999994,3.78
18.68454,3.78
17.539199999999994,3.78
37.1045,3.78
13.10148,3.78
32.00528,3.78
13.033439999999997,3.78
34.076719999999995,3.78
37.30861999999999,3.78
46.23698,3.78
35.43281999999994,3.78
44.675839999999994,3.78
47.911519999999996,3.78
27.541079999999997,3.78
48.17234,3.78
30.557519999999997,3.78
48.22,3.78
32.281199999999984,3.78
48.22,3.78
33.861239999999995,3.78
33.71004000000002,3.78
48.22,3.78
33.16572,3.78
48.22,3.78
33.804539999999996,3.78
48.22,3.78
31.993919999999996,3.78
48.22,3.78
32.97672000000003,3.78
48.22,3.78
48.219999999999956,3.78
48.22,3.78
36.04074000000004,3.78
33.449239999999996,3.78
34.87052,3.78
33.8348,3.78
13.10148,3.78
31.808719999999997,3.78
11.275739999999999,3.78
9.99054,3.78
28.856539999999995,3.78
30.13796,3.78
8.368920000000001,3.78
6.26346,3.78
20.767579999999988,3.78
2.6157599999999994,3.78
11.626500000000007,3.78
20.994139999999998,3.78
20.72198,3.78
1.03194,3.78
1.4742000000000002,3.78
19.99622,3.78
2.2264200000000005,3.78
24.902659999999997,3.78
5.01984,3.78
22.090339999999998,3.78
21.118879999999997,3.78
28.837639999999997,3.78
27.548659999999998,3.78
5.295780000000001,3.78
21.97694,3.78
21.88622,3.78
1.8899999999999992,3.78
0.7673400000000004,3.78
18.91514,3.78
0.4687199999999998,3.78
22.84256,3.78
3.4019999999999997,3.78
28.765819999999998,3.78
31.876759999999997,3.78
4.638060000000001,3.78
28.70156,3.78
12.284999999999998,3.78
30.11528,3.78
9.41976,3.78
23.764879999999998,3.78
0.6085799999999995,3.78
30.999779999999994,3.78
48.22,3.78
48.22,3.78
48.22,3.78
42.78206,3.78
32.44376,3.78
30.28916,3.78
26.741299999999995,3.78
17.263259999999995,3.78
34.8945,3.78
14.64372,3.78
13.94064,3.78
31.60082,3.78
29.611359999999998,3.78
0.0,3.78
13.728959999999999,3.78
36.63602,3.78
19.5993,3.78
35.940259999999995,3.78
12.04686,3.78
31.61972,3.78
35.1767,3.78
15.732359999999998,3.78
38.87732,3.78
20.839139999999997,3.78
43.95008,3.78
28.040039999999998,3.78
48.22,3.78
35.206939999999996,3.78
32.843060000000044,3.78
35.84576,3.78
18.540899999999997,3.78
42.83875999999999,3.78
23.016419999999997,3.78
43.103359999999995,3.78
24.282719999999994,3.78
22.120559999999998,3.78
36.41276,3.78
30.35342,3.78
7.605360000000001,3.78
26.94386,3.78
11.317319999999999,3.78
14.435819999999998,3.78
37.36532,3.78
19.402739999999994,3.78
36.991099999999996,3.78
38.51822,3.78
21.228479999999994,3.78
46.22185999999999,3.78
32.727239999999995,3.78
48.22,3.78
48.22,3.78
48.22,3.78
48.22,3.78
33.127919999999996,3.78
48.22,3.78
48.22,3.78
33.74028,3.78
48.22,3.78
48.22,3.78
34.019999999999996,3.78
48.22,3.78
48.17513999999998,3.78
22.706459999999996,3.78
12.47022,3.78
31.400479999999998,3.78
31.498759999999997,3.78
5.62842,3.78
2.9672999999999994,3.78
21.47798,3.78
2.1356999999999995,3.78
1.8446399999999996,3.78
19.49726,3.78
7.8375200000000085,3.78
0.0,3.78
16.22,3.78
24.418819999999997,3.78
25.43942,3.78
6.94764,3.78
28.414279999999998,3.78
11.05272,3.78
32.74238,3.78
17.1234,3.78
39.9584,3.78
24.086159999999996,3.78
43.511599999999994,3.78
38.83976000000001,3.78
27.779219999999995,3.78
29.181599999999996,3.78
47.6507,3.78
48.220000000000006,3.78
28.040039999999998,3.78
41.53377999999998,3.78
19.470779999999998,3.78
34.59458,3.78
6.81156,3.78
1.3267799999999998,3.78
21.01682,3.78
14.79650000000002,3.78
22.58552,3.78
21.88244,3.78
18.14402,3.78
1.1150999999999998,0.0
16.85504,3.78
0.4384799999999999,0.0
16.24268,3.78
0.0,0.0
12.2574999999999,3.78
16.22,3.78
0.0,0.0
0.0,0.0
16.22,3.78
16.22,3.78
0.0,0.0
13.842500000000022,3.78
0.0,0.0
0.0,0.0
16.22,3.78
0.0,0.0
16.22,3.78
0.0,0.0
16.22,3.78
16.22,3.78
7.825000000000024,3.78
22.10546,3.78
7.366680000000014,3.78
21.848419999999997,3.78
1.2474000000000003,3.78
22.4381,3.78
3.7686599999999992,3.78
25.564159999999998,3.78
27.144199999999998,3.78
7.93422,3.78
29.53316,3.78
13.71384,3.78
14.004899999999997,3.78
32.749939999999995,3.78
34.12586,3.78
13.33584,3.78
13.65714,3.78
35.42996,3.78
37.09694,3.78
17.365319999999997,3.78
21.23604,3.78
45.269299999999994,3.78
26.841779999999996,3.78
42.36248,3.78
43.14872,3.78
34.991479999999996,3.78
33.39254,3.78
13.38498,3.78
33.843079999999446,3.78
40.41578,3.78
21.239819999999998,3.78
23.844239999999996,3.78
44.50196,3.78
44.84215999999999,3.78
28.421819999999997,3.78
22.135679999999997,3.78
48.22,3.78
31.627259999999993,3.78
48.22,3.78
33.218640000000015,3.78
48.21999999999999,3.78
48.22,3.78
34.019999999999996,3.78
48.21999999999999,3.78
48.22,3.78
48.22,3.78
34.019999999999996,3.78
40.2171,3.78
48.22,3.78
48.22,3.78
48.22,3.78
48.22,3.78
48.22,3.78
29.35548,3.78
31.022459999999995,3.78
48.22,3.78
46.996759999999995,3.78
29.185379999999995,3.78
31.585679999999996,3.78
48.22,3.78
48.22,3.78
30.909059999999997,3.78
30.058559999999993,3.78
48.22,3.78
48.22,3.78
27.136619999999994,3.78
23.526719999999997,3.78
40.861819999999994,3.78
20.536739999999995,3.78
42.78206,3.78
41.46284,3.78
17.134739999999997,3.78
38.00414,3.78
45.669979999999995,3.78
40.658160000000024,3.78
19.519919999999995,3.78
41.912659999999995,3.78
21.534659999999995,3.78
45.4961,3.78
46.2332,3.78
25.12944,3.78
43.65523999999999,3.78
22.358699999999995,3.78
24.433919999999993,3.78
45.24284,3.78
48.22,3.78
31.638599999999997,3.78
48.22,3.78
32.020379999999996,3.78
48.22,3.78
30.304259999999992,3.78
48.21999999999999,3.78
48.22,3.78
33.16572,3.78
33.785639999999994,3.78
48.22,3.78
48.22,3.78
48.22,3.78
48.22,3.78
48.219999999999914,3.78
48.22,3.78
34.019999999999996,3.78
48.22,3.78
34.019999999999996,3.78
48.22,3.78
34.019999999999996,3.78
48.22,3.78
48.22,3.78
34.019999999999996,3.78
34.019999999999996,3.78
41.24749999999998,3.78
48.22,3.78
48.22,3.78
48.22,3.78
34.019999999999996,3.78
48.22,3.78
34.019999999999996,3.78
48.22,3.78
34.019999999999996,3.78
48.22,3.78
48.22,3.78
48.22,3.78
44.609999999999985,3.78
48.22,3.78
48.22,3.78
48.22,3.78
34.019999999999996,3.78
48.22,3.78
34.019999999999996,3.78
34.01622,3.78
48.22,3.78
28.1043,3.78
48.22,3.78
48.220000000000006,3.78
31.71419999999999,3.78
31.914539999999995,3.78
48.21999999999999,3.78
47.74455999999998,3.78
32.046839999999996,3.78
48.220000000000006,3.78
32.4135,3.78
48.22,3.78
45.7607,3.78
21.750119999999995,3.78
44.97068,3.78
33.619339999999994,3.78
31.99016,3.78
30.009439999999998,3.78
8.652420000000001,3.78
7.903979999999999,3.78
26.68304,3.78
6.051779999999999,3.78
24.25628,3.78
21.129159999999985,3.78
4.827060000000001,3.78
3.6477,3.78
22.24532,3.78
22.075219999999998,3.78
3.205439999999999,3.78
14.559780000000032,3.78
4.48686,3.78
23.39066,3.78
23.31128,3.78
3.5116199999999993,3.78
25.00472,3.78
4.766579999999999,3.78
25.57172,3.78
8.03628,3.78
30.19596,3.78
43.87826,3.78
44.38477999999999,3.78
43.4171,3.78
22.139459999999996,3.78
41.534659999999995,3.78
22.222619999999996,3.78
26.637659999999997,3.78
46.42161999999941,3.78
48.220000000000006,3.78
28.266839999999995,3.78
48.22,3.78
29.589839999999995,3.78
28.996379999999995,3.78
48.220000000000006,3.78
48.21999999999999,3.78
28.399139999999996,3.78
27.155519999999996,3.78
44.95178,3.78
44.89789999999891,3.78
28.270619999999994,3.78
48.22,3.78
31.835159999999995,3.78
48.220000000000006,3.78
48.219999999999985,3.78
27.960679999999996,3.78
28.2593,3.78
8.64108,3.78
28.28576,3.78
27.49952,3.78
7.18956,3.78
25.79852,3.78
13.318760000000001,3.78
5.25798,3.78
7.6885200000000005,3.78
28.0703,3.78
29.96408,3.78
11.99772,3.78
32.90114,3.78
11.332439999999998,3.78
30.15686,3.78
6.815339999999999,3.78
5.53392,3.78
25.67756,3.78
5.923259999999999,3.78
24.278959999999998,3.78
7.1177399999999995,3.78
25.19372,3.78
23.83056000000001,3.78
45.696439999999996,3.78
46.0442,3.78
22.388939999999998,3.78
38.563579999999995,3.78
38.50320000000002,3.78
21.024359999999998,3.78
23.235659999999996,3.78
43.43978,3.78
21.65562,3.78
41.02436,3.78
47.696059999999996,3.78
28.641059999999996,3.78
31.026239999999994,3.78
47.30672,3.78
25.20882,3.78
48.14588,3.78
47.559979999999996,3.78
22.940819999999995,3.78
43.76107999999999,3.78
30.107699999999994,3.78
48.21999999999999,3.78
33.05988,3.78
48.21999999999999,3.78
48.22,3.78
35.03684,3.78
32.95784,3.78
36.450559999999996,3.78
20.359079999999995,3.78
44.532199999999996,3.78
25.027379999999997,3.78
41.95801999999999,3.78
18.8811,3.78
42.233959999999996,3.78
27.189539999999997,3.78
44.350759999999994,3.78
27.087479999999996,3.78
47.20088,3.78
24.05592,3.78
25.745579999999997,3.78
47.41256,3.78
48.220000000000006,3.78
32.24717999999999,3.78
48.22,3.78
31.27572,3.78
48.22,3.78
48.22,3.78
32.50422,3.78
48.22,3.78
39.97351999999999,3.78
36.14438,3.78
38.04572,3.78
21.375899999999998,3.78
17.92098,3.78
34.39046,3.78
33.286699999999996,3.78
10.871279999999999,3.78
27.090220000000024,3.78
13.513499999999999,3.78
12.662999999999998,3.78
32.87846,3.78
14.730659999999999,3.78
35.237179999999995,3.78
17.221679999999996,3.78
34.46995999999997,3.78
18.242279999999997,3.78
37.75466,3.78
35.29388,3.78
14.110739999999998,3.78
33.41144,3.78
11.93724,3.78
31.62728,3.78
22.92988000000002,3.78
39.051199999999994,3.78
36.35984,3.78
37.79246,3.78
15.9705,3.78
38.90378,3.78
21.908879999999996,3.78
46.66034,3.78
31.854059999999997,3.78
48.22,3.78
33.44544,3.78
48.22,3.78
48.22,3.78
25.787159999999997,3.78
41.67829999999999,3.78
16.030979999999996,3.78
33.831019999999995,3.78
14.86296,3.78
15.29388,3.78
32.538259999999994,3.78
11.389139999999998,3.78
28.482420000000026,3.78
29.49158,3.78
7.7867999999999995,3.78
26.64146,3.78
24.199579999999997,3.78
16.12836,3.78
23.18654,3.78
24.53222,3.78
6.17652,3.78
28.65242,3.78
10.912859999999998,3.78
14.39802,3.78
32.99954000000001,3.78
15.165359999999998,3.78
34.41314,3.78
34.73066,3.78
11.241719999999999,3.78
7.22358,3.78
6.233220000000001,3.78
27.05726,3.78
26.645239999999998,3.78
6.92118,3.78
19.423340000000003,3.78
11.563019999999998,3.78
33.22622,3.78
32.11868,3.78
6.2294399999999985,3.78
27.182,3.78
37.49383999999999,3.78
37.962559999999996,3.78
38.29898,3.78
16.012079999999994,3.78
37.19521999999999,3.78
19.814759999999996,3.78
42.19994,3.78
27.586439999999996,3.78
30.232439999999993,3.78
48.22,3.78
31.2984,3.78
48.22,3.78
31.154759999999996,3.78
48.220000000000006,3.78
33.403859999999995,3.78
48.22,3.78
48.22,3.78
30.497040000000016,3.78
48.21999999999999,3.78
28.588139999999996,3.78
45.291979999999995,3.78
20.672819999999998,3.78
37.11206,3.78
37.21034,3.78
26.051779999999997,3.78
26.62634,3.78
10.024560000000001,3.78
33.638239999999996,3.78
34.36778,3.78
14.163659999999998,3.78
32.19806,3.78
